Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total	Residentes en el Extranjero	2025M07	53.977
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total	Residentes en el Extranjero	2025M06	68.603
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total	Residentes en el Extranjero	2025M05	93.285
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total	Residentes en el Extranjero	2025M04	98.345
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total	Residentes en el Extranjero	2025M03	68.510
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total	Residentes en el Extranjero	2025M02	45.819
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total	Residentes en el Extranjero	2025M01	42.581
Total Nacional	01 Andalucía	18 Granada	Viajero	Total		2025M07	240.435
Total Nacional	01 Andalucía	18 Granada	Viajero	Total		2025M06	243.803
Total Nacional	01 Andalucía	18 Granada	Viajero	Total		2025M05	257.371
Total Nacional	01 Andalucía	18 Granada	Viajero	Total		2025M04	260.939
Total Nacional	01 Andalucía	18 Granada	Viajero	Total		2025M03	229.683
Total Nacional	01 Andalucía	18 Granada	Viajero	Total		2025M02	220.647
Total Nacional	01 Andalucía	18 Granada	Viajero	Total		2025M01	188.585
Total Nacional	01 Andalucía	18 Granada	Viajero	Total	Residentes en España	2025M07	129.953
Total Nacional	01 Andalucía	18 Granada	Viajero	Total	Residentes en España	2025M06	129.378
Total Nacional	01 Andalucía	18 Granada	Viajero	Total	Residentes en España	2025M05	120.041
Total Nacional	01 Andalucía	18 Granada	Viajero	Total	Residentes en España	2025M04	129.467
Total Nacional	01 Andalucía	18 Granada	Viajero	Total	Residentes en España	2025M03	125.370
Total Nacional	01 Andalucía	18 Granada	Viajero	Total	Residentes en España	2025M02	140.887
Total Nacional	01 Andalucía	18 Granada	Viajero	Total	Residentes en España	2025M01	110.814
Total Nacional	01 Andalucía	18 Granada	Viajero	Total	Residentes en el Extranjero	2025M07	110.482
Total Nacional	01 Andalucía	18 Granada	Viajero	Total	Residentes en el Extranjero	2025M06	114.425
Total Nacional	01 Andalucía	18 Granada	Viajero	Total	Residentes en el Extranjero	2025M05	137.330
